Year,Afghanistan_Original,Afghanistan_Cleaned,United Arab Emirates_Original,United Arab Emirates_Cleaned,Armenia_Original,Armenia_Cleaned,Azerbaijan_Original,Azerbaijan_Cleaned,Bangladesh_Original,Bangladesh_Cleaned,Bahrain_Original,Bahrain_Cleaned,Bhutan_Original,Bhutan_Cleaned,China_Original,China_Cleaned,Cyprus_Original,Cyprus_Cleaned,Georgia_Original,Georgia_Cleaned,Indonesia_Original,Indonesia_Cleaned,India_Original,India_Cleaned,Iraq_Original,Iraq_Cleaned,Israel_Original,Israel_Cleaned,Jordan_Original,Jordan_Cleaned,Japan_Original,Japan_Cleaned,Kazakhstan_Original,Kazakhstan_Cleaned,Cambodia_Original,Cambodia_Cleaned,Kuwait_Original,Kuwait_Cleaned,Lebanon_Original,Lebanon_Cleaned,Sri Lanka_Original,Sri Lanka_Cleaned,Maldives_Original,Maldives_Cleaned,Myanmar_Original,Myanmar_Cleaned,Mongolia_Original,Mongolia_Cleaned,Malaysia_Original,Malaysia_Cleaned,Nepal_Original,Nepal_Cleaned,Oman_Original,Oman_Cleaned,Pakistan_Original,Pakistan_Cleaned,Philippines_Original,Philippines_Cleaned,Qatar_Original,Qatar_Cleaned,Saudi Arabia_Original,Saudi Arabia_Cleaned,Singapore_Original,Singapore_Cleaned,Thailand_Original,Thailand_Cleaned,Tajikistan_Original,Tajikistan_Cleaned,Turkmenistan_Original,Turkmenistan_Cleaned,Timor-Leste_Original,Timor-Leste_Cleaned,Uzbekistan_Original,Uzbekistan_Cleaned
1960,9035043,9035043,131334,131334,1863705,1863705,3894500,3894500,51828660,51828660,165477,165477,224084,224084,667070000,667070000,586490,586490,3645600,3645600,88296070,88296070,435990338,435990338,7022052,7022052,2114020,2114020,853471,853471,93216000,93216000,9429981,9429981,5449966,5449966,311060,311060,1794406,1794406,9661389,9661389,91189,91189,21730250,21730250,977595,977595,7956197,7956197,10123658,10123658,530485,530485,45709310,45709310,27891897,27891897,36010,36010,2435403,2435403,1646400,1646400,26851747,26851747,2112131,2112131,1643457,1643457,468118,468118,8209109,8209109
1961,9214083,9214083,137989,137989,1927484,1927484,4045750,4045750,53310348,53310348,172346,172346,230602,230602,660330000,660330000,595514,595514,3703600,3703600,90791249,90791249,446564729,446564729,7194553,7194553,2185000,2185000,897591,897591,94055000,94055000,9742085,9742085,5571168,5571168,345945,345945,1850084,1850084,9899372,9899372,93450,93450,22210581,22210581,1009284,1009284,8164443,8164443,10318396,10318396,539854,539854,46921277,46921277,28792621,28792621,39680,39680,2526347,2526347,1702400,1702400,27650334,27650334,2181805,2181805,1695400,1695400,475291,475291,8517711,8517711
1962,9404406,9404406,144946,144946,1991689,1991689,4168150,4168150,54881146,54881146,179349,179349,237636,237636,665770000,665770000,601466,601466,3760300,3760300,93375850,93375850,457283090,457283090,7413875,7413875,2293000,2293000,940554,940554,94933000,94933000,10058928,10058928,5697558,5697558,384995,384995,1909578,1909578,10143754,10143754,95802,95802,22704719,22704719,1041444,1041444,8380172,8380172,10521116,10521116,549941,549941,48156128,48156128,29723536,29723536,44630,44630,2620910,2620910,1750200,1750200,28481040,28481040,2255026,2255026,1749214,1749214,482774,482774,8854368,8854368
1963,9604487,9604487,152211,152211,2056023,2056023,4293550,4293550,56504402,56504402,186501,186501,245156,245156,682335000,682335000,607252,607252,3816100,3816100,96051424,96051424,468138575,468138575,7667928,7667928,2379000,2379000,984714,984714,95900000,95900000,10377466,10377466,5823010,5823010,427694,427694,1970316,1970316,10395040,10395040,98222,98222,23213408,23213408,1071362,1071362,8602160,8602160,10729818,10729818,560827,560827,49447776,49447776,30674731,30674731,50380,50380,2719341,2719341,1795000,1795000,29342322,29342322,2331736,2331736,1804272,1804272,490564,490564,9202246,9202246
1964,9814318,9814318,159692,159692,2120135,2120135,4439250,4439250,58178374,58178374,193816,193816,252987,252987,698355000,698355000,612521,612521,3870300,3870300,98833749,98833749,479229598,479229598,7929566,7929566,2475000,2475000,1035640,1035640,96903000,96903000,10690309,10690309,5946178,5946178,473115,473115,2030543,2030543,10653397,10653397,100662,100662,23737315,23737315,1100234,1100234,8828406,8828406,10946392,10946392,572577,572577,50799999,50799999,31643032,31643032,56867,56867,2821968,2821968,1841600,1841600,30232141,30232141,2411260,2411260,1859997,1859997,498659,498659,9557611,9557611
1965,10036008,10036008,167103,167103,2183635,2183635,4574650,4574650,59902519,59902519,200866,200866,261200,261200,715185000,715185000,617736,617736,3921600,3921600,101365130,101365130,490140146,490140146,8202140,8202140,2563000,2563000,1099440,1099440,97952000,97952000,10993183,10993183,6072289,6072289,521174,521174,2088831,2088831,10916965,10916965,104102,104102,24279431,24279431,1131177,1131177,9056408,9056408,11173411,11173411,585236,585236,52209010,52209010,32625316,32625316,64065,64065,2928771,2928771,1886900,1886900,31149337,31149337,2492998,2492998,1915916,1915916,507034,507034,9921681,9921681
1966,10266395,10266395,173976,173976,2246159,2246159,4708150,4708150,61669806,61669806,207543,207543,269820,269820,735400000,735400000,623390,623390,3966700,3966700,103792754,103792754,500740247,500740247,8485104,8485104,2629000,2629000,1178360,1178360,98851000,98851000,11288989,11288989,6201232,6201232,572590,572590,2148260,2148260,11183928,11183928,108507,108507,24836496,24836496,1163754,1163754,9284688,9284688,11408710,11408710,598804,598804,53678667,53678667,33617170,33617170,72192,72192,3039887,3039887,1934400,1934400,32086071,32086071,2577184,2577184,1971737,1971737,515696,515696,10289294,10289294
1967,10505959,10505959,179700,179700,2307492,2307492,4832000,4832000,63510929,63510929,214189,214189,278852,278852,754550000,754550000,629251,629251,4005800,4005800,106526393,106526393,511606372,511606372,8778869,8778869,2745000,2745000,1271183,1271183,99879000,99879000,11584428,11584428,6332944,6332944,628089,628089,2206731,2206731,11457328,11457328,112528,112528,25406429,25406429,1196996,1196996,9507099,9507099,11652716,11652716,613318,613318,55214768,55214768,34621320,34621320,81439,81439,3157242,3157242,1977600,1977600,33037801,33037801,2664130,2664130,2027403,2027403,524648,524648,10659180,10659180
1968,10756922,10756922,199416,199416,2367319,2367319,4948500,4948500,65408276,65408276,219337,219337,288311,288311,774510000,774510000,635157,635157,4042300,4042300,109450006,109450006,522716889,522716889,9085016,9085016,2803000,2803000,1372460,1372460,101011000,101011000,11879182,11879182,6467324,6467324,687716,687716,2266368,2266368,11736088,11736088,116075,116075,25989662,25989662,1229930,1229930,9725281,9725281,11906266,11906266,628798,628798,56810507,56810507,35638342,35638342,91749,91749,3282711,3282711,2012000,2012000,34002560,34002560,2753848,2753848,2083069,2083069,533875,533875,11032155,11032155
1969,11017409,11017409,239660,239660,2424030,2424030,5063300,5063300,67294133,67294133,222469,222469,298214,298214,796025000,796025000,641189,641189,4080300,4080300,112517639,112517639,533880544,533880544,9403356,9403356,2877000,2877000,1473100,1473100,102219000,102219000,12156212,12156212,6604725,6604725,749452,749452,2328159,2328159,12013858,12013858,119564,119564,26585112,26585112,1262284,1262284,9947597,9947597,12167036,12167036,645255,645255,58460939,58460939,36660799,36660799,103025,103025,3417114,3417114,2042500,2042500,34973782,34973782,2845273,2845273,2139024,2139024,543356,543356,11403150,11403150
