Country,Timestamp,RMSE,MAPE,Model,Differencing,Validation_MAPE,Test_MAPE,DataPoints,RemovedPoints
Afghanistan,2025-05-15 07:00:53.688807,22804051.48672757,128.92098940776654,"ARIMA(2, 1, 2)",1,1.915618668554398,,64,0
United Arab Emirates,2025-05-15 07:01:02.572997,7268977.475777223,530.8835792685667,"ARIMA(2, 1, 1)",1,5.780245907643797,,64,0
Armenia,2025-05-15 07:01:11.922193,1176613.8292275737,35.45185513157148,"ARIMA(2, 1, 1)",1,0.1089964114419469,,64,0
Azerbaijan,2025-05-15 07:01:21.593963,699043.4879075615,7.592009431511839,"ARIMA(2, 1, 1)",1,1.8875823127446616,,64,0
Bangladesh,2025-05-15 07:01:30.281952,15896207.548349576,10.112262336940969,"ARIMA(0, 1, 1)",1,0.7995820064282465,,64,0
Bahrain,2025-05-15 07:01:40.888534,462645.9807011292,55.912192076634646,"ARIMA(2, 1, 2)",1,3.57542977894282,,64,0
Bhutan,2025-05-15 07:01:51.243114,36786.0813567348,5.403360753918637,"ARIMA(2, 1, 2)",1,2.4515605637035045,,64,0
China,2025-05-15 07:02:00.637269,178093118.12925282,14.12463021769913,"ARIMA(0, 1, 0)",1,0.5699044658930726,,64,0
Cyprus,2025-05-15 07:02:11.479721,267615.530520532,22.94202370395297,"ARIMA(2, 1, 2)",1,1.6108429536473574,,64,0
Georgia,2025-05-15 07:02:20.960384,697573.4851241179,13.498650872535991,"ARIMA(0, 1, 2)",1,0.0656000828263882,,64,0
Indonesia,2025-05-15 07:02:30.120859,95524851.38294962,43.27004003287125,"ARIMA(0, 1, 2)",1,0.87942912404805,,64,0
India,2025-05-15 07:02:40.716654,76645751.33467063,9.67436495509363,"ARIMA(1, 1, 1)",1,2.4227636226982736,,64,0
Iraq,2025-05-15 07:02:50.509679,12190222.507384771,47.69625449303513,"ARIMA(2, 1, 2)",1,2.4362402226952784,,64,0
Israel,2025-05-15 07:02:58.671988,1409395.6320416704,26.85218722342901,"ARIMA(0, 1, 2)",1,1.4210123708894078,,64,0
Jordan,2025-05-15 07:03:07.560878,3245784.0833320525,60.67735773755126,"ARIMA(2, 1, 1)",1,4.363396441060055,,64,0
Japan,2025-05-15 07:03:16.281668,27088559.981961142,20.4392759495438,"ARIMA(1, 1, 1)",1,0.4780484607113782,,64,0
Kazakhstan,2025-05-15 07:03:26.598607,5606539.267548743,33.65933088883964,"ARIMA(1, 1, 2)",1,0.6115627845104908,,64,0
Cambodia,2025-05-15 07:03:36.480875,4635030.969175168,29.25754271988763,"ARIMA(0, 1, 2)",1,1.0493976756363703,,64,0
Kuwait,2025-05-15 07:03:47.787807,1389990.2234233646,68.50793595067664,"ARIMA(2, 1, 2)",1,2.1416730708612755,,64,0
Lebanon,2025-05-15 07:04:00.795600,33697899364.78504,781782.3284269073,"ARIMA(2, 1, 1)",1,6.431168540072036,,64,0
Sri Lanka,2025-05-15 07:04:13.446468,24928432.966668244,126.35684075660234,"ARIMA(0, 1, 0)",1,1.0220269966926911,,64,0
Maldives,2025-05-15 07:04:26.206999,267694.0336595374,106.78278884801134,"ARIMA(0, 1, 2)",1,2.253476178737881,,64,0
Myanmar,2025-05-15 07:04:37.423889,4206198.777956965,8.7097385421364,"ARIMA(1, 1, 0)",1,0.7361063584373909,,64,0
Mongolia,2025-05-15 07:04:48.790471,1056749.8859569689,43.23202861454602,"ARIMA(2, 1, 1)",1,1.92278609088954,,64,0
Malaysia,2025-05-15 07:04:59.299363,4951991.213251588,28.712436983798007,"ARIMA(0, 1, 1)",1,1.51931811975437,,64,0
Nepal,2025-05-15 07:05:10.620583,9158604.456976105,35.20338902517929,"ARIMA(2, 1, 0)",1,0.2767349440672509,,64,0
Oman,2025-05-15 07:05:21.035556,7474984.472959127,417.4486143521124,"ARIMA(2, 1, 1)",1,1.3159062450548864,,64,0
Pakistan,2025-05-15 07:05:31.602326,21500339.337259565,21.517052254200784,"ARIMA(0, 1, 1)",1,1.2081769809845104,,64,0
Philippines,2025-05-15 07:05:41.997730,38126036.99233792,46.2014569203149,"ARIMA(1, 1, 2)",1,2.6464222575397987,,64,0
Qatar,2025-05-15 07:05:51.773609,3414530.813974723,772.2057750128027,"ARIMA(2, 1, 2)",1,3.1295747506445872,,64,0
Saudi Arabia,2025-05-15 07:06:02.027499,10433010.495229997,57.4446510214887,"ARIMA(1, 1, 2)",1,5.530312733462726,,64,0
Singapore,2025-05-15 07:06:13.342503,1745458.7530045726,39.64681347754966,"ARIMA(2, 1, 1)",1,2.850087205651366,,64,0
Thailand,2025-05-15 07:06:23.082382,27522016.90048027,43.75210994125117,"ARIMA(0, 1, 2)",1,0.3592082711530305,,64,0
Tajikistan,2025-05-15 07:06:33.612146,3181172.813661474,48.86543533706696,"ARIMA(0, 1, 2)",1,1.8267673880810904,,64,0
Turkmenistan,2025-05-15 07:06:44.831487,1943654.3270267893,47.77528383019912,"ARIMA(1, 1, 1)",1,1.944455800603308,,64,0
Timor-Leste,2025-05-15 07:06:55.414732,85412.18641936078,10.208361296725911,"ARIMA(0, 1, 2)",1,1.757274091150695,,64,0
Uzbekistan,2025-05-15 07:07:06.565086,2259109.2109211297,11.334641242685656,"ARIMA(0, 1, 1)",1,1.5109237669915607,,64,0
